"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @YanaKakar: Soul-crushing news of #EgyptAttack in Sufi mosque. A reminder that extremism not Islam is the enemy- and it hurts Muslims eq…",FALSE,0,NA,2017-11-24 22:31:49,FALSE,NA,"934270874412298240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","reubenteague",1,TRUE,FALSE,NA,NA
"RT @AWAKEALERT: @SlavRight_Proud #Sinai #SinaiAttack #Sinaimosque #EgyptAttack #EgyptMosqueAttack #IslamicState #AbuKamal #Russia #OxfordSt…",FALSE,0,NA,2017-11-24 22:31:31,FALSE,NA,"934270799531388928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jmart4info",5,TRUE,FALSE,NA,NA
"RT @islamicfreedom: At least 235 dead after bombing, shooting attack on Egypt mosque, #EgyptAttack #EgyptMosqueAttack https://t.co/IzJVJiO7…",FALSE,0,NA,2017-11-24 22:31:06,FALSE,NA,"934270694434553856",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","iftekaralam11",554,TRUE,FALSE,NA,NA
"RT @TariqRamadan: #Egypte #EgyptAttack https://t.co/6EK5xtqFGk",FALSE,0,NA,2017-11-24 22:30:59,FALSE,NA,"934270666488004608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akarbina",136,TRUE,FALSE,NA,NA
"RT @islamicfreedom: At least 235 dead after bombing, shooting attack on Egypt mosque, #EgyptAttack #EgyptMosqueAttack https://t.co/IzJVJiO7…",FALSE,0,NA,2017-11-24 22:30:40,FALSE,NA,"934270588754935808",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hzzzq_",554,TRUE,FALSE,NA,NA
"RT @Rodriwest: @ajplus It's so painful terrorist killing innocent Muslims while worshipping in Mosque. I condemn the act too. #EgyptAttack",FALSE,0,NA,2017-11-24 22:30:30,FALSE,NA,"934270545566171136",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","grousher_",1,TRUE,FALSE,NA,NA
"RT @danielocarmon: #TelAviv municipality building reflecting our solidarity with our Egyptian neighbors after the horrific #EgyptAttack #mo…",FALSE,0,NA,2017-11-24 22:30:27,FALSE,NA,"934270530965745664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chandrav09",13,TRUE,FALSE,NA,NA
"Thoughts and prayers. #EgyptAttack 
 https://t.co/Rf3lhrkvjW",FALSE,0,NA,2017-11-24 22:30:26,FALSE,NA,"934270526926786560",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Moizislami",0,FALSE,FALSE,NA,NA
"RT @omdhedhy: @cakimiNOW : PKB siap membantu pemerintah menjadi penengah &amp; pendamai di daerah konflik timteng #EgyptAttack #PKBsebarIslamDa…",FALSE,0,NA,2017-11-24 22:30:08,FALSE,NA,"934270453530505216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rgun12",9,TRUE,FALSE,NA,NA
"My thoughts and prayers are with the families and victims of #EgyptAttack #Egypt ... https://t.co/pJezhgAz4G… via @cbsnews",FALSE,3,NA,2017-11-24 22:30:07,FALSE,NA,"934270449206181888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","patrickwitham",0,FALSE,FALSE,NA,NA
"RT @friega_again: Hoy un ataque terrorista mató a 200 personas en Egipto, no los veo lamentarse. Una vida vale más que otra?  #EgyptAttack",FALSE,0,NA,2017-11-24 22:30:05,FALSE,NA,"934270439567822848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlcivarLilibeth",23,TRUE,FALSE,NA,NA
"all our love is with you Egypt. #EgyptAttack",FALSE,1,NA,2017-11-24 22:30:04,FALSE,NA,"934270437051080704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","azmirul_",0,FALSE,FALSE,NA,NA
"RT @islamicfreedom: At least 235 dead after bombing, shooting attack on Egypt mosque, #EgyptAttack #EgyptMosqueAttack https://t.co/IzJVJiO7…",FALSE,0,NA,2017-11-24 22:29:57,FALSE,NA,"934270404624973824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NurSyakirahh",554,TRUE,FALSE,NA,NA
"#EgyptAttack  #EgyptMosqueAttack  #Egypt 
This Woman is Always Disgusting,
 
She is Enemy of her Own people,
She He… https://t.co/wYr7gl42Ey",FALSE,1,NA,2017-11-24 22:29:50,TRUE,NA,"934270378666467328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InvincibleBabu",2,FALSE,FALSE,NA,NA
"RT @islamicfreedom: At least 235 dead after bombing, shooting attack on Egypt mosque, #EgyptAttack #EgyptMosqueAttack https://t.co/IzJVJiO7…",FALSE,0,NA,2017-11-24 22:29:39,FALSE,NA,"934270330889052160",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HannaBananaBae",554,TRUE,FALSE,NA,NA
"RT @nidaa214: ""Kindness is a mark of faith, whoever is not kind has no faith"" Prophet Muhammad (SAW) 
#EgyptAttack
#Egypt
#prayersForEgypt",FALSE,0,NA,2017-11-24 22:29:36,FALSE,NA,"934270316557332480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YewAndMeo",5,TRUE,FALSE,NA,NA
